"Unused variable, import, function or class","Unused variables, imports, functions or classes may be a symptom of a bug and should be examined carefully.","recommendation","Unused variable unused.","/src/components/SpaceyTextForm/SpaceyTextForm.js","7","7","7","12"
"Unused variable, import, function or class","Unused variables, imports, functions or classes may be a symptom of a bug and should be examined carefully.","recommendation","Unused variable unused.","/src/index.js","7","5","7","10"
